City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2011_yoy,2012_yoy,2013_yoy,2014_yoy,2015_yoy,2016_yoy,2017_yoy,2018_yoy,2019_yoy,2020_yoy,2021_yoy,2022_yoy,2023_yoy,2024_yoy
Boca Raton,FL,85158.0,86460.0,87646.0,89689.0,91276.0,93498.0,96427.0,98236.0,99351.0,99805.0,98250.0,98829.0,100447.0,101421.0,102238.0,0.0152892270837736,0.0137173259310663,0.0233096775665746,0.0176944775836501,0.0243437486305271,0.0313268733021027,0.0187603057235006,0.011350217842746,0.0045696570744129,-0.0155803817444015,0.0058931297709923,0.0163717127563771,0.0096966559479128,0.0080555309058281
Boston,MA,621048.0,630505.0,642955.0,653002.0,662855.0,670491.0,679848.0,687788.0,691147.0,692600.0,675522.0,658581.0,660080.0,664603.0,673458.0,0.0152274864422717,0.0197460765576799,0.0156262879983824,0.0150887746132477,0.0115198648271492,0.0139554445920974,0.0116790812063873,0.0048837723251932,0.0021023024045535,-0.0246578111464048,-0.0250783838276177,0.0022761057485715,0.0068521997333656,0.0133237436484638
Boulder,CO,97752.0,100137.0,101160.0,102719.0,104451.0,106742.0,107128.0,106447.0,106008.0,105673.0,108418.0,104316.0,106079.0,106634.0,106803.0,0.0243984777805057,0.010216004074418,0.0154112297350731,0.0168615348669671,0.0219337296914342,0.0036161960615315,-0.0063568814875662,-0.0041241181057239,-0.0031601388574447,0.0259763610382973,-0.0378350458410964,0.0169005713409256,0.0052319497732821,0.0015848603634863
Boynton Beach,FL,68411.0,68905.0,70049.0,71305.0,73155.0,74005.0,75877.0,77711.0,77949.0,78679.0,80474.0,80092.0,81351.0,82361.0,83095.0,0.007221060940492,0.0166025687540817,0.017930305928707,0.0259448846504452,0.0116191647870958,0.0252955881359367,0.0241706973127561,0.0030626294861731,0.0093650976920807,0.0228142198045221,-0.0047468747670054,0.0157194226639364,0.0124153360130791,0.0089119850414638
Bradenton,FL,49310.0,49642.0,50207.0,51175.0,52253.0,53838.0,55048.0,56686.0,57601.0,59439.0,55815.0,56354.0,57185.0,57500.0,58184.0,0.0067329142161833,0.0113814914789895,0.019280180054574,0.0210649731314118,0.030333186611295,0.0224748319031167,0.0297558494404883,0.0161415517058885,0.0319091682436068,-0.0609700701559582,0.0096569022664158,0.0147460694892997,0.0055084375273235,0.011895652173913
Burlington,NC,51172.0,51169.0,51198.0,51314.0,51475.0,51867.0,52180.0,53121.0,53911.0,54606.0,57547.0,59272.0,59580.0,60350.0,61365.0,-5.862581099038537e-05,0.0005667493990502,0.0022657135044337,0.0031375453092723,0.0076153472559494,0.006034665586982,0.0180337293982368,0.0148717079874249,0.0128916176661534,0.0538585503424532,0.0299754982883556,0.0051963827777027,0.0129237999328633,0.0168185584092792
Burnsville,MN,60391.0,60649.0,60864.0,61144.0,61314.0,61203.0,61316.0,61431.0,61162.0,61339.0,64519.0,64036.0,64039.0,64928.0,64864.0,0.0042721597589044,0.0035449883757357,0.0046004206098843,0.0027803218631427,-0.0018103532635287,0.0018463147231344,0.0018755300410985,-0.004378896648272,0.0028939537621398,0.0518430362412168,-0.0074861668655744,4.6848647635704914e-05,0.0138821655553646,-0.0009857072449482
Camarillo,CA,65257.0,65515.0,65656.0,65882.0,66517.0,67171.0,67141.0,67403.0,68883.0,69888.0,70721.0,70551.0,70029.0,69775.0,69881.0,0.0039535988476332,0.0021521788903304,0.0034421835018886,0.0096384444916669,0.0098320730038937,-0.0004466213097914,0.0039022355937504,0.0219574796374048,0.014589956883411,0.0119190705128205,-0.0024038121632895,-0.0073989029212909,-0.0036270687857887,0.001519168756718
Cambridge,MA,105008.0,105884.0,107886.0,112036.0,112993.0,113471.0,115685.0,116869.0,118151.0,118927.0,118204.0,117215.0,117973.0,119315.0,121186.0,0.0083422215450251,0.0189074836613652,0.0384665294848265,0.0085418972473133,0.0042303505526891,0.0195115932705272,0.010234689026235,0.0109695470997441,0.0065678665436602,-0.0060793596071539,-0.0083668911373557,0.0064667491362027,0.0113754842209658,0.0156811800695637
Carlsbad,CA,105674.0,107460.0,108948.0,110665.0,111609.0,112662.0,113265.0,114477.0,115518.0,115382.0,114930.0,114968.0,114586.0,113920.0,113575.0,0.0169010352593826,0.0138470128419877,0.0157598120204134,0.0085302489495323,0.0094347230062091,0.0053522926985141,0.0107005694609985,0.0090935297046568,-0.0011773057012759,-0.0039174221282349,0.0003306360393282,-0.0033226636977245,-0.0058122283699579,-0.0030284410112359
Carmel,IN,84508.0,86508.0,88566.0,90947.0,91569.0,92998.0,96114.0,97400.0,99143.0,101068.0,99907.0,101066.0,102363.0,102576.0,103606.0,0.0236663984474842,0.0237897073103065,0.026883905787774,0.0068391480752526,0.0156057180923675,0.0335060969053097,0.0133799446490625,0.0178952772073922,0.0194163985354487,-0.0114873154707721,0.0116007887335221,0.0128331981081669,0.0020808299873977,0.0100413352051162
